states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AS,Nagaon,0,0,0,0,758,1481,0,0,0,0,0,0,0,0,0,0,0,0,16396,36734,0,0,0,0,1/2/2021,0,0,2826006,0,0,0,0,1203831,448081,0
AS,Nalbari,0,0,0,0,388,1492,0,0,0,0,0,0,0,0,0,0,0,0,6785,25411,0,0,0,0,1/2/2021,0,0,769919,0,0,0,0,483076,168392,0
AS,Sivasagar,0,0,0,0,46,714,0,0,0,0,0,0,0,0,0,0,0,0,1946,23104,0,0,0,0,1/2/2021,0,0,1150253,0,0,0,0,478954,223921,0
AS,Sonitpur,0,0,0,0,448,2664,0,0,0,0,0,0,0,0,0,0,0,0,8341,48290,0,0,0,0,1/2/2021,0,0,1925975,0,0,0,0,767841,434213,0
AS,South Salmara Mankachar,0,0,0,0,260,1288,0,0,0,0,0,0,0,0,0,0,0,0,1978,15304,0,0,0,0,1/2/2021,0,0,555114,0,0,0,0,239906,76599,0
AS,Tinsukia,0,0,0,0,6637,1679,0,0,0,0,0,0,0,0,0,0,0,0,45002,22410,0,0,0,0,1/2/2021,0,0,1316948,0,0,0,0,795057,286170,0
AS,Unknown,212,1,236,0,0,0,212,1499,0,0,0,0,0,1499,2056,24,2215,0,0,0,2056,0,0,0,1/2/2021,0,0,0,610645,5997,600974,0,0,0,3767
AS,West Karbi Anglong,0,0,0,0,312,147,0,0,0,0,0,0,0,0,0,0,0,0,4593,4186,0,0,0,0,1/2/2021,0,0,300320,0,0,0,0,127612,42942,0
BR,Begusarai,0,0,1,0,1906,2774,0,8,0,0,0,0,0,8,2,0,7,0,33903,65735,2,0,0,0,9/26/2020,0,0,2954367,27212,457,26754,213670,1430906,480982,10
BR,Araria,0,0,0,0,5177,3067,0,0,0,0,0,0,0,0,2,0,0,0,51331,69085,2,0,0,0,3/10/2020,0,0,2806200,14978,116,14859,219221,1177154,395227,2
